org_id,ein,name,category,ntee_major,ntee_full,city,state
org_000064,611745872,National September 11 Memorial And Museum At The World Trade Center,"Arts, Culture & Humanities",A,A84,New York,NY
org_000065,131923626,The Carnegie Hall Corporation,"Arts, Culture & Humanities",A,A610,New York,NY
org_000066,991576597,Strong Cuevas Sculpture Foundation,"Arts, Culture & Humanities",A,A99,Lynbrook,NY
org_000067,941156258,California Academy Of Sciences,"Arts, Culture & Humanities",A,A560,San Francisco,CA
org_000068,840407760,Denver Center For The Performing Arts,"Arts, Culture & Humanities",A,A610,Denver,CO
org_000069,132947386,New York City Ballet Inc,"Arts, Culture & Humanities",A,A630,New York,NY
org_000070,383678458,Natl Sept 11 Memorial And Museum At The World Trade Center Fdn Inc,"Arts, Culture & Humanities",A,A80,New York,NY
org_000071,135562233,Solomon R Guggenheim Foundation,"Arts, Culture & Humanities",A,A510,New York,NY
org_000072,952243698,Academy Foundation,"Arts, Culture & Humanities",A,A310,Beverly Hills,CA
org_000073,474365749,Alamo Trust Inc,"Arts, Culture & Humanities",A,A54,San Antonio,TX
org_000074,943130227,Seattle Theatre Group,"Arts, Culture & Humanities",A,A610,Seattle,WA
org_000075,350867985,Childrens Museum Of Indianapolis Incorporated,"Arts, Culture & Humanities",A,A520,Indianapolis,IN
org_000076,231352289,Philadelphia Orchestra Association,"Arts, Culture & Humanities",A,A690,Philadelphia,PA
org_000077,251469002,Pittsburgh Cultural Trust,"Arts, Culture & Humanities",A,A200,Pittsburgh,PA
org_000078,136192346,Roundabout Theatre Company Inc,"Arts, Culture & Humanities",A,A650,New York,NY
org_000079,237304942,Playhouse Square Foundation,"Arts, Culture & Humanities",A,A610,Cleveland,OH
org_000080,540564701,Mount Vernon Ladies Association Of The Union,"Arts, Culture & Humanities",A,A800,Mount Vernon,VA
org_000081,131656667,Manhattan School Of Music,"Arts, Culture & Humanities",A,A250,New York,NY
org_000082,231365388,Philadelphia Museum Of Art,"Arts, Culture & Humanities",A,A510,Philadelphia,PA
org_000083,340714468,The Musical Arts Association,"Arts, Culture & Humanities",A,A690,Cleveland,OH
org_000084,113533002,Friends Of United Hatzalah Inc,"Arts, Culture & Humanities",A,A70,New York,NY
org_000085,620606066,Country Music Association Inc,"Arts, Culture & Humanities",A,A68Z,Nashville,TN
org_000086,202605026,Academy Museum Foundation,"Arts, Culture & Humanities",A,A11,Beverly Hills,CA
org_000087,311378179,Music And Event Management Inc,"Arts, Culture & Humanities",A,A200,Cincinnati,OH
org_000088,222889703,New Jersey Performing Arts Center Corporation,"Arts, Culture & Humanities",A,A610,Newark,NJ
org_000089,910785826,Museum Of Flight Foundation,"Arts, Culture & Humanities",A,A110,Tukwila,WA
org_000090,521968145,Radio Free Asia,"Arts, Culture & Humanities",A,A340,Washington,DC
org_000091,956132185,Los Angeles County Museum Of Natural History Foundation,"Arts, Culture & Humanities",A,A116,Los Angeles,CA
org_000092,274813461,Navy Pier Inc,"Arts, Culture & Humanities",A,A80,Chicago,IL
org_000093,980033472,Royal Ontario Museum,"Arts, Culture & Humanities",A,A50Z,Canada,
org_000094,274026852,Crosswater Canyon Inc,"Arts, Culture & Humanities",A,A50,Petersburg,KY
org_000095,273641289,Academy Of Mathematics & Science South Inc,"Arts, Culture & Humanities",A,A25,Tempe,AZ
org_000096,133015230,New York Public Radio,"Arts, Culture & Humanities",A,A340,New York,NY
org_000097,720692744,New Orleans Jazz & Heritage Foundation Inc,"Arts, Culture & Humanities",A,A6C0,New Orleans,LA
org_000098,620753887,Country Music Foundation Inc,"Arts, Culture & Humanities",A,A500,Nashville,TN
org_000099,520749685,White House Historical Association,"Arts, Culture & Humanities",A,A82Z,Washington,DC
org_000100,510205333,Virginia Museum Of Fine Arts Foundation,"Arts, Culture & Humanities",A,A112,Richmond,VA
org_000101,941415298,San Francisco Ballet Association,"Arts, Culture & Humanities",A,A630,San Francisco,CA
org_000102,931824030,Golden Globe Foundation,"Arts, Culture & Humanities",A,A12,W Hollywood,CA
org_000103,391049688,Milwaukee World Festival Inc,"Arts, Culture & Humanities",A,A680,Milwaukee,WI
org_000104,510066038,Henry Francis Du Pont Winterthur Museum Inc,"Arts, Culture & Humanities",A,A510,Winterthur,DE
org_000105,111672743,Brooklyn Institute Of Arts And Sciences,"Arts, Culture & Humanities",A,A510,Brooklyn,NY
org_000106,941156284,San Francisco Symphony,"Arts, Culture & Humanities",A,A690,San Francisco,CA
org_000107,941696494,The Exploratorium,"Arts, Culture & Humanities",A,A500,San Francisco,CA
org_000108,952217011,Performing Arts Center Of Los Angeles County,"Arts, Culture & Humanities",A,A610,Los Angeles,CA
org_000109,362167797,Kenneth C Griffin Museum Of Science And Industry,"Arts, Culture & Humanities",A,A570,Chicago,IL
org_000110,366002273,Ravinia Festival Association,"Arts, Culture & Humanities",A,A600,Highland Park,IL
org_000111,381689022,Interlochen Center For The Arts,"Arts, Culture & Humanities",A,A25,Interlochen,MI
org_000112,833403946,San Antonio Valley Ranch Llc,"Arts, Culture & Humanities",A,A54,Petaluma,CA
org_000113,341520995,Rock And Roll Hall Of Fame And Museum Inc,"Arts, Culture & Humanities",A,A500,Cleveland,OH
org_000114,941156300,San Francisco Museum Of Modern Art,"Arts, Culture & Humanities",A,A510,San Francisco,CA
org_000115,142007220,Pro Publica Inc,"Arts, Culture & Humanities",A,A20,New York,NY
org_000116,530246894,Washington Drama Society Inc,"Arts, Culture & Humanities",A,A650,Washington,DC
org_000117,160758844,Chautauqua Institution,"Arts, Culture & Humanities",A,A610,Chautauqua,NY
org_000118,204144184,Kallir Family Foundation,"Arts, Culture & Humanities",A,A51,New York,NY
org_000119,237011544,Wolf Trap Foundation For The Performing Arts,"Arts, Culture & Humanities",A,A600,Vienna,VA
org_000120,131624124,New York Historical Society,"Arts, Culture & Humanities",A,A800,New York,NY
org_000121,200695917,Dr Phillips Center For The Performing Arts Inc,"Arts, Culture & Humanities",A,A11,Orlando,FL
org_000122,131844852,New York Shakespeare Festival,"Arts, Culture & Humanities",A,A650,New York,NY
org_000123,133004747,Vivian Beaumont Theater Inc,"Arts, Culture & Humanities",A,A650,New York,NY
org_000124,760276606,Woodlands Center For The Performing Arts,"Arts, Culture & Humanities",A,A60B,The Woodlands,TX
org_000125,42163004,Sterling & Francine Clark Art Inst,"Arts, Culture & Humanities",A,A510,Williamstown,MA
org_000126,952210527,California Science Center Foundation,"Arts, Culture & Humanities",A,A570,Los Angeles,CA
org_000127,752571525,Health Education Learning Project H E L P,"Arts, Culture & Humanities",A,A20,Fort Worth,TX
org_000128,541426643,American Battlefield Tr,"Arts, Culture & Humanities",A,A85Z,Washington,DC
org_000129,990109908,Polynesian Cultural Center,"Arts, Culture & Humanities",A,A230,Laie,HI
org_000130,942747262,San Francisco Ballet Endowment Foundation,"Arts, Culture & Humanities",A,A020,San Francisco,CA
org_000131,464386832,Cuyahoga County Convention Facilities Development Corporation,"Arts, Culture & Humanities",A,A20,Cleveland,OH
org_000132,840518447,The Colorado Museum Of Natural History,"Arts, Culture & Humanities",A,A560,Denver,CO
org_000133,943045948,Corporation Of The Fine Arts Museums,"Arts, Culture & Humanities",A,A035,San Francisco,CA
org_000134,366008929,Lyric Opera Of Chicago,"Arts, Culture & Humanities",A,A6A0,Chicago,IL
org_000135,446012977,Nelson Gallery Foundation,"Arts, Culture & Humanities",A,A510,Kansas City,MO
org_000136,250986052,Pittsburgh Symphony Inc,"Arts, Culture & Humanities",A,A690,Pittsburgh,PA
org_000137,581320590,Tennessee Performing Arts Center Management Corporation,"Arts, Culture & Humanities",A,A610,Nashville,TN
org_000138,800197489,Kaizen Educational Foundation,"Arts, Culture & Humanities",A,A12,Phoenix,AZ
org_000139,231473884,Mann Center For The Performing Arts,"Arts, Culture & Humanities",A,A610,Philadelphia,PA
org_000140,201476451,Pbs Foundation,"Arts, Culture & Humanities",A,A113,Arlington,VA
org_000141,410693929,Walker Art Center Inc,"Arts, Culture & Humanities",A,A200,Minneapolis,MN
org_000142,341580038,National Inventors Hall Of Fame Inc,"Arts, Culture & Humanities",A,A570,North Canton,OH
org_000143,310537080,Cincinnati Symphony Orchestra,"Arts, Culture & Humanities",A,A690,Cincinnati,OH
org_000144,132761376,Childrens Museum Of Manhattan,"Arts, Culture & Humanities",A,A520,New York,NY
org_000145,756036226,Kimbell Art Foundation,"Arts, Culture & Humanities",A,A20O,Fort Worth,TX
org_000146,911221895,Cascade Public Media,"Arts, Culture & Humanities",A,A320,Seattle,WA
org_000147,930814638,Oregon Public Broadcasting,"Arts, Culture & Humanities",A,A300,Portland,OR
org_000148,862022385,National Trust For Local News,"Arts, Culture & Humanities",A,A30,Brighton,CO
org_000149,810842855,Art Bridges Inc,"Arts, Culture & Humanities",A,A25,Bentonville,AR
org_000150,710647212,Walton Arts Center Council Inc,"Arts, Culture & Humanities",A,A260,Fayetteville,AR
org_000151,42312734,Boston Ballet Inc,"Arts, Culture & Humanities",A,A630,Boston,MA
org_000152,952466183,Center Theatre Group Of Los Angeles,"Arts, Culture & Humanities",A,A650,Los Angeles,CA
org_000153,136136259,Carnegie Hall Society Inc,"Arts, Culture & Humanities",A,A030,New York,NY
org_000154,540505959,Thomas Jefferson Foundation Inc,"Arts, Culture & Humanities",A,A540,Charlottesvle,VA
org_000155,231370501,Franklin Institute,"Arts, Culture & Humanities",A,A25,Philadelphia,PA
org_000156,650353695,Adrienne Arsht Center Trust Inc,"Arts, Culture & Humanities",A,A111,Miami,FL
org_000157,410769851,Twin Cities Public Television Inc,"Arts, Culture & Humanities",A,A320,Saint Paul,MN
org_000158,350867955,Indianapolis Museum Of Art Inc,"Arts, Culture & Humanities",A,A510,Indianapolis,IN
org_000159,843126447,Open Technology Fund,"Arts, Culture & Humanities",A,A05,Washington,DC
org_000160,952096402,Los Angeles Opera Company,"Arts, Culture & Humanities",A,A6A0,Los Angeles,CA
org_000161,742162248,Hope Media Group,"Arts, Culture & Humanities",A,A340,Humble,TX
org_000162,410693915,Minneapolis Society Of Fine Arts,"Arts, Culture & Humanities",A,A510,Minneapolis,MN
org_000163,923648739,Angela Duldulao Mcpherson Foundation,"Arts, Culture & Humanities",A,A50,Oxnard,CA
org_000164,581791724,North Carolina Performing Arts Center At Charlotte Foundation,"Arts, Culture & Humanities",A,A61,Charlotte,NC
org_000165,231438083,Whyy Inc,"Arts, Culture & Humanities",A,A300,Philadelphia,PA
org_000166,741036131,Houston Museum Of Natural Science,"Arts, Culture & Humanities",A,A560,Houston,TX
org_000167,132584273,Alvin Ailey Dance Foundation Inc,"Arts, Culture & Humanities",A,A620,New York,NY
org_000168,231585611,Curtis Institute Of Music,"Arts, Culture & Humanities",A,A6E0,Philadelphia,PA
org_000169,954664939,Broad Art Foundation,"Arts, Culture & Humanities",A,A51Z,Los Angeles,CA
org_000170,741394920,Houston Ballet Foundation,"Arts, Culture & Humanities",A,A630,Houston,TX
org_000171,871376165,Historic Haymarket Milwaukee I Inc,"Arts, Culture & Humanities",A,A50,Milwaukee,WI
org_000172,840751854,National Cable Satellite Corporation,"Arts, Culture & Humanities",A,A300,Washington,DC
org_000173,131851145,American Council Of Learned Societies,"Arts, Culture & Humanities",A,A030,New York,NY
org_000174,750808774,Dallas Museum Of Art,"Arts, Culture & Humanities",A,A510,Dallas,TX
org_000175,592245054,Raymond F Kravis Center For The Performing Arts Inc,"Arts, Culture & Humanities",A,A610,West Palm Bch,FL
org_000176,430666769,Saint Louis Symphony Orchestra,"Arts, Culture & Humanities",A,A690,Saint Louis,MO
